"t","i2o"
0,0.00366776726654778
1,0.0227941800343408
2,0.0557082324974412
3,0.0898142170001318
4,0.11069284699104
5,0.117129556194686
6,0.110866194104251
7,0.0976204278210153
8,0.0820748385889282
9,0.0669854027565164
10,0.0533953511800565
11,0.0419783473343525
12,0.0324547076533603
13,0.0250403370232654
14,0.0192808957280534
15,0.0149224681537518
16,0.0114506097131336
17,0.00888274416198474
18,0.00670592766109788
19,0.00508568033994038
20,0.00375770062111155
21,0.00285673995011022
22,0.00229677330905306
23,0.00175566734247463
24,0.00140556099348
25,0.00114716278652429
26,0.000917112253948354
27,0.000733963811214551
28,0.000629996920657264
29,0.000572488984299512
30,0.00046027369243445
31,0.000412945425844366
32,0.000404878770512456
33,0.000401197997263495
34,0.00040445023501053
35,0.000346820377401316
36,0.000304620787794621
37,0.000292576689835778
38,0.000231483933940109
39,0.000229165653061012
40,0.000208712053207515
41,0.000215784069429945
42,0.000171920175827939
43,0.000163695585704437
44,0.000155491620864088
45,0.000109722698193631
46,0.000105715213662621
47,9.7134291750834e-05
48,8.75414397075595e-05
49,8.11370328073386e-05
50,8.99245562747839e-05
51,8.47922638749182e-05
52,8.52156456596015e-05
53,8.34935221589743e-05
54,9.88641316935374e-05
55,8.22081626252351e-05
56,8.50516414506078e-05
57,9.59454756193488e-05
58,9.08889891135246e-05
59,8.13703783620691e-05
60,0.00010350189957756
61,9.64736096306013e-05
62,0.00010692556691961
63,9.470219774234e-05
64,0.000108097192417556
65,0.000104597325335843
66,9.40787916262931e-05
67,8.89034272255032e-05
68,9.7464520868278e-05
69,0.000100754977985818
70,6.36381205914761e-05
71,4.50542152661658e-05
72,3.57974436289946e-05
73,4.13041959205717e-05
74,3.37714689784053e-05
75,2.40172229655331e-05
76,2.40998197034701e-05
77,2.29139192815576e-05
78,1.8748630675661e-05
79,1.20906056256648e-05
80,9.77602335217831e-06
81,6.60920061110735e-06
82,1.75830383548584e-06
83,4.63266982289624e-06
84,6.25607537525993e-06
85,5.21812639268009e-06
86,1.35214789693525e-05
87,2.26064467907781e-05
88,1.64556814493333e-05
89,1.79650469327915e-05
90,1.67489891504174e-05
91,1.36557136372547e-05
92,7.79471835219537e-06
93,1.51379793321343e-05
94,8.79829799738895e-06
95,1.65718139035808e-05
96,2.03214316872973e-05
97,2.60484727932385e-05
98,2.61363677369484e-05
99,1.79802623709973e-05
100,2.21500596848289e-05
